site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Perugia.csv,1/1/2020 12:00:00 AM,12,2.2,0.4,2,86.6,44.7,-4.695918,-4.695918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/2/2020 12:00:00 AM,9.6,0.3,0,1,72.8,37.6,-9.345919,-4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/3/2020 12:00:00 AM,9.8,-0.2,0,0,71.9,28.2,-14.147919,-4.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/4/2020 12:00:00 AM,8.9,0.7,0,6,81.1,40,-18.24792,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/5/2020 12:00:00 AM,6.9,-0.2,0,15,96.7,76.7,-21.600737,-3.352817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/6/2020 12:00:00 AM,5.7,-1.8,0,1,80.9,40.6,-23.766737,-2.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/7/2020 12:00:00 AM,4.6,-2.5,0,0,67,30,-25.256878,-1.4901408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/8/2020 12:00:00 AM,6.1,-0.9,0,0,79.5,34.7,-27.914736,-2.6578572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/9/2020 12:00:00 AM,8,-1.4,0,0,87.6,41.6,-31.31899,-3.4042554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/10/2020 12:00:00 AM,8.8,-0.1,0,0,81.2,32.9,-35.66955,-4.3505616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Perugia.csv,1/11/2020 12:00:00 AM,8.3,-0.3,0,6,77.8,41.5,-39.674786,-4.0052323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
