site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Potenza.csv,1/1/2020 12:00:00 AM,8.2,3.6,2,10,87.5,68.9,-2.2999997,-2.2999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/2/2020 12:00:00 AM,11.6,3.9,0,9,76.2,52.1,-5.9837656,-3.6837661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/3/2020 12:00:00 AM,10.5,2.2,0,15,88.6,54.4,-10.118705,-4.134939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/4/2020 12:00:00 AM,12.8,1.3,0,6,90.5,30.4,-15.527836,-5.4091306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/5/2020 12:00:00 AM,10.1,1,0,13,93.3,67.4,-20.077286,-4.549451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/6/2020 12:00:00 AM,9.9,3.2,1,8,90.9,32.7,-23.427286,-3.3499997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/7/2020 12:00:00 AM,5.5,1.9,0,0,69.1,42.4,-25.227285,-1.8000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/8/2020 12:00:00 AM,9.1,1.4,0,10,91.3,53.9,-29.077286,-3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/9/2020 12:00:00 AM,10.7,3.1,0,14,97.2,52.7,-32.845047,-3.767763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/10/2020 12:00:00 AM,11.6,0.7,0,6,94.6,40.7,-38.177616,-5.332569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/11/2020 12:00:00 AM,11.9,0,0,14,89,42.8,-43.975937,-5.7983193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/12/2020 12:00:00 AM,10.4,3,0,13,90.6,60.8,-47.665127,-3.689189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/13/2020 12:00:00 AM,10.5,5,0.4,15,91.8,58.5,-50.3924,-2.7272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/14/2020 12:00:00 AM,10.2,2.3,0,15,97.7,67.2,-54.339867,-3.9474685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/15/2020 12:00:00 AM,11.9,1.4,0,13,97.1,46.5,-59.41796,-5.078095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/16/2020 12:00:00 AM,12.5,1.7,0,15,86.9,50.9,-64.52861,-5.1106477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/17/2020 12:00:00 AM,11.1,2.5,0,15,88.3,59.5,-68.75826,-4.2296515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/18/2020 12:00:00 AM,12.2,1.1,0,11,92.2,44,-74.09025,-5.331982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/19/2020 12:00:00 AM,10.5,1.4,0,10,91.9,59.4,-78.62651,-4.5362635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/20/2020 12:00:00 AM,9,4.6,0.1,9,93.8,70.6,-80.82651,-2.2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/21/2020 12:00:00 AM,8.3,5,0.5,7,88.3,68.1,-82.47651,-1.6500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/22/2020 12:00:00 AM,9.2,2.2,0,8,92.8,60.7,-85.97651,-3.4999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/23/2020 12:00:00 AM,12.1,0.5,0,10,95.5,56.9,-91.586426,-5.609914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/24/2020 12:00:00 AM,12,2.8,0,14,93.6,50.3,-95.96903,-4.382609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/25/2020 12:00:00 AM,13.8,-0.1,0,14,90.5,40,-103.33881,-7.369784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/26/2020 12:00:00 AM,14.7,3.1,0,9,92.9,51.5,-102.38666,-4.8478446,0.95215505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/27/2020 12:00:00 AM,12.9,4.2,0.5,13,94.9,58.4,-101.90333,-3.8666663,0.48333323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/28/2020 12:00:00 AM,13.1,6.4,0.1,12,92.3,54.1,-101.186165,-2.6328356,0.71716434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/29/2020 12:00:00 AM,13.8,8,0,6,87.5,58,-99.94134,-1.655172,1.2448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Potenza.csv,1/30/2020 12:00:00 AM,14,6.9,0,4,91.8,53.5,-98.814575,-2.4232392,1.1267606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
