site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/1/2009 12:00:00 AM,-1.2173814,-1.2173814,0.175,1,65.84092,65.84092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/2/2009 12:00:00 AM,2.12,-1.9371449,4.025,23,68.67297,51.714413,-0.553887,-0.553887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/3/2009 12:00:00 AM,-0.5799999,-2.17,0,0,63.208176,56.026268,-0.553887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/4/2009 12:00:00 AM,3.37,-4.891197,0,0,67.72967,42.701572,-1.241251,-0.68736404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/5/2009 12:00:00 AM,2.9700003,-6.24,0,0,59.82012,30.355707,-1.7201273,-0.47887632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/6/2009 12:00:00 AM,-1.19,-6.78,0,0,58.945107,34.21767,-1.7201273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/7/2009 12:00:00 AM,-0.27999997,-3.35,0.4416667,1,65.2573,48.605682,-1.7201273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/8/2009 12:00:00 AM,1.1383878,-1.67,10.254168,24,74.63013,54.953735,-1.9508517,-0.23072433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/9/2009 12:00:00 AM,3.81,-1.7518041,2.2041667,23,77.137375,61.708385,-3.2558331,-1.3049814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/10/2009 12:00:00 AM,3.25,-2.6099997,0,0,68.45193,44.771732,-4.15707,-0.90123725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/11/2009 12:00:00 AM,3.2399998,-2.8299997,0,0,69.78175,43.73703,-5.021782,-0.86471164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/12/2009 12:00:00 AM,5.52,-1.0799999,0,0,74.88287,46.767235,-7.330146,-2.3083637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/13/2009 12:00:00 AM,6.49,-1.9099998,0.125,1,73.750496,40.521706,-9.837295,-2.5071487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/14/2009 12:00:00 AM,3.82,-0.49,2.9416666,24,75.83734,54.55492,-11.5301485,-1.6928538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/15/2009 12:00:00 AM,4.92,0.9000001,1.5333334,23,86.58239,59.493004,-13.540149,-2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/16/2009 12:00:00 AM,5.79,1.1170423,0,0,88.144646,72.395035,-15.876628,-2.336479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/17/2009 12:00:00 AM,8.56,-0.15999985,0,0,79.40207,43.055862,-20.078096,-4.201468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/18/2009 12:00:00 AM,4.23,-0.5,0,0,80.42416,53.335987,-21.969524,-1.8914272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/19/2009 12:00:00 AM,4.76,2.32,0,0,82.49507,69.45006,-23.189524,-1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/20/2009 12:00:00 AM,9.34,2.0299997,0.06666667,1,85.28055,51.371914,-26.844524,-3.6550002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/21/2009 12:00:00 AM,13.67,3.1900005,1.6166668,24,87.374084,42.91816,-31.441925,-4.5973997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/22/2009 12:00:00 AM,8.64,1.7492015,1.9166667,23,89.318985,63.36796,-34.887325,-3.4453995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/23/2009 12:00:00 AM,6.99,0.5088318,0,0,81.02142,52.607113,-38.12791,-3.2405841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/24/2009 12:00:00 AM,6.68,-0.5500002,0.70416665,1,77.2591,46.295048,-41.21383,-3.0859196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/25/2009 12:00:00 AM,5.85,-0.61000013,16.491667,24,80.47098,48.24762,-43.86263,-2.6488004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/26/2009 12:00:00 AM,7.2,1.4946159,7.0249996,24,84.735435,59.916706,-46.71532,-2.8526917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/27/2009 12:00:00 AM,9.04,0.19999981,5.079167,23,86.2159,43.37359,-51.135323,-4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/28/2009 12:00:00 AM,7.5999994,2.875489,0.083333336,1,89.50098,69.55363,-53.497578,-2.3622553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/29/2009 12:00:00 AM,9.61,1.5232402,1.9166667,23,84.542694,48.914684,-57.54096,-4.04338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/30/2009 12:00:00 AM,9.76,0.10999966,0,0,80.44474,41.02853,-62.36596,-4.8250003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,1/31/2009 12:00:00 AM,9.9,0.89000034,0,0,82.456894,44.07991,-66.87096,-4.5049996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/1/2009 12:00:00 AM,7.33,-0.099999905,0.14583333,1,78.87015,46.70562,-70.486626,-3.6156728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/2/2009 12:00:00 AM,6.04,0.97000027,3.6208332,24,80.50064,56.287277,-73.02162,-2.5349998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/3/2009 12:00:00 AM,7.4799995,0.99999976,6.7125,24,82.37937,51.88992,-76.26162,-3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/4/2009 12:00:00 AM,6.4,2.8,13.320833,23,85.51334,66.47924,-78.06162,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/5/2009 12:00:00 AM,12.68,4.2000003,0.15416667,2,90.62068,50.987522,-81.878136,-3.8165095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/6/2009 12:00:00 AM,16.11,3.7600002,3.7208333,24,87.30615,37.789406,-86.54172,-4.663579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/7/2009 12:00:00 AM,16.45,7.070518,4.2625,24,95.5509,52.56225,-89.01372,-2.4720016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/8/2009 12:00:00 AM,15,5.241924,5.4625,23,92.848335,49.922165,-92.61176,-3.5980482,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/9/2009 12:00:00 AM,10.79,4.110977,0,3,91.37711,58.6172,-95.90456,-3.2927904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/10/2009 12:00:00 AM,11.81,2.79,0,0,87.2488,47.058167,-100.232956,-4.328398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/11/2009 12:00:00 AM,12.26,1.7340684,0,0,86.3159,44.241623,-99.99033,-5.0203457,0.24261989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/12/2009 12:00:00 AM,8.81,0.5199995,0,0,81.226746,45.4957,-99.99033,-4.1450005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/13/2009 12:00:00 AM,8.89,-1.2945698,0.079166666,1,79.93576,42.884193,-99.99033,-3.879992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/14/2009 12:00:00 AM,8.82,-3.0299997,1.8208333,23,72.38458,31.222157,-99.99033,-3.2823799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/15/2009 12:00:00 AM,9.6,-3.83,0,0,70.65549,27.237553,-99.99033,-3.4311244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/16/2009 12:00:00 AM,8.17,-4.04,0,0,69.67962,29.123154,-99.99033,-2.7333703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/17/2009 12:00:00 AM,9.82,-4.78,0,0,68.41562,24.193491,-99.99033,-3.3024793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/18/2009 12:00:00 AM,11.03,-2.642647,0,0,74.530045,29.332655,-99.95154,-4.4878583,0.03879642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/19/2009 12:00:00 AM,7.25,-4.34,0,0,68.45434,29.783875,-99.95154,-2.2675798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/20/2009 12:00:00 AM,7,-5.54,0,0,65.47116,26.461613,-99.95154,-1.953748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/21/2009 12:00:00 AM,11.07,-6.3899994,0,0,66.489395,18.608255,-99.918755,-3.5420904,0.03278635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/22/2009 12:00:00 AM,11.67,-1.4400005,0,0,76.48168,30.672827,-99.812386,-5.30045,0.10636537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/23/2009 12:00:00 AM,12.01,-3.5299997,0,0,71.26078,23.932886,-99.682396,-4.7709208,0.12999038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/24/2009 12:00:00 AM,9.15,-1.54,0,0,76.156494,35.87184,-99.682396,-3.915926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/25/2009 12:00:00 AM,10.05,-0.5600004,0,0,78.79015,37.53591,-99.68228,-4.7598963,0.00011781428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/26/2009 12:00:00 AM,11.28,-2.3900003,0,0,74.20373,28.46968,-99.62235,-4.7138553,0.059926823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/27/2009 12:00:00 AM,13.07,-3.5599995,0,0,70.77033,22.121311,-99.33898,-5.419417,0.28337038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,2/28/2009 12:00:00 AM,14.28,-0.8299999,0,0,76.68287,27.113554,-98.73281,-7.353964,0.60616803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/1/2009 12:00:00 AM,15.130001,-2.0700002,0.041666668,1,74.12374,22.27983,-97.96778,-7.419588,0.76502645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/2/2009 12:00:00 AM,12.24,1.2600002,0.9583334,24,93.78976,39.077984,-97.739296,-5.261512,0.22848813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/3/2009 12:00:00 AM,11.050001,5.9183292,0.045833334,9,97.937485,73.19721,-97.631874,-2.4584146,0.10742136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/4/2009 12:00:00 AM,11.97,3.5675447,1.5791668,24,92.720314,57.32507,-97.40093,-3.9702897,0.23093851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/5/2009 12:00:00 AM,11.13,2.2699995,12.450001,24,87.40602,46.775654,-97.32887,-4.3579407,0.07205983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/6/2009 12:00:00 AM,11.22,4.2781663,8.845834,24,93.144135,60.895737,-97.221664,-3.363712,0.10720515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/7/2009 12:00:00 AM,10.97,3.13,5.079167,23,88.299095,51.57707,-97.16166,-3.8599937,0.06000641,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/8/2009 12:00:00 AM,15.02,3.58,0,0,87.23563,40.362923,-96.06024,-4.618584,1.1014162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/9/2009 12:00:00 AM,17.14,1.4400005,0,0,79.24278,27.501762,-94.43669,-6.226445,1.623554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Ravenna.csv,3/10/2009 12:00:00 AM,17.17,2.0152535,0,0,83.32108,32.44187,-92.74056,-5.881241,1.696132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
