site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/1/2012 12:00:00 AM,7.77,-2.1479576,0,0,76.97195,41.512154,-3.0436156,-3.0436156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/2/2012 12:00:00 AM,8.18,-3.92,0,0,70.984245,29.48999,-5.808591,-2.7649753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/3/2012 12:00:00 AM,5.86,-0.71000004,0.175,1,76.13251,47.714676,-8.421955,-2.613364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/4/2012 12:00:00 AM,7.82,-0.63516235,4.025,23,79.40715,45.774944,-12.038231,-3.616276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/5/2012 12:00:00 AM,2.89,-1.24,0,0,71.161476,52.826107,-13.049381,-1.0111501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/6/2012 12:00:00 AM,7.33,-1.0299997,0,0,76.54695,42.355606,-16.262833,-3.213451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/7/2012 12:00:00 AM,11.12,0.3000002,0,0,80.961784,38.233223,-21.614866,-5.352033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/8/2012 12:00:00 AM,10.54,-0.78999996,0,0,78.23841,35.47183,-26.530277,-4.9154105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/9/2012 12:00:00 AM,10.92,-2.4300003,0,0,74.145386,29.049006,-31.028135,-4.4978576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/10/2012 12:00:00 AM,12.71,-2.6999998,0,0,73.024864,24.917715,-36.50796,-5.479825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/11/2012 12:00:00 AM,11.13,-2.7200003,0,0,73.4131,27.759861,-41.02615,-4.5181875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/12/2012 12:00:00 AM,10.43,-2.6499999,0,0,73.61672,29.316235,-45.19166,-4.1655126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/13/2012 12:00:00 AM,8.84,-4,0,0,70.04567,28.060871,-48.234715,-3.043053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/14/2012 12:00:00 AM,8.53,-3.9028988,0,0,73.12825,33.016525,-51.16086,-2.9261436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/15/2012 12:00:00 AM,5.9300003,-5.59,0,0,64.53792,27.973032,-52.68711,-1.5262543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/16/2012 12:00:00 AM,1.7400001,-4.27,0,0,62.410885,40.146523,-52.93899,-0.25188023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/17/2012 12:00:00 AM,2.73,-4.47,0,0,63.441586,37.459415,-53.456554,-0.5175625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/18/2012 12:00:00 AM,0.42999983,-4.64,0,0,60.3885,40.854004,-53.47479,-0.0182347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/19/2012 12:00:00 AM,0.73,-3.23,0,0,63.052494,47.149338,-53.542072,-0.06728536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/20/2012 12:00:00 AM,1.5499998,-3.5199997,0,0,63.78829,44.002995,-53.779007,-0.2369329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/21/2012 12:00:00 AM,2.26,-3.24,0,0,66.42723,43.885326,-54.243336,-0.46432725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/22/2012 12:00:00 AM,6.62,-2.2300003,0,0,73.075424,38.86317,-56.71929,-2.4759545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/23/2012 12:00:00 AM,7.84,-2.4400003,0,0,73.38345,35.34571,-59.708862,-2.9895718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/24/2012 12:00:00 AM,9.23,-3.0500002,0,0,72.46225,30.357471,-63.177628,-3.4687662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/25/2012 12:00:00 AM,8.09,-2.9899998,0,0,72.173706,32.808147,-66.131065,-2.9534345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/26/2012 12:00:00 AM,10.32,-3.54,0,0,71.44207,26.820442,-69.97684,-3.845772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/27/2012 12:00:00 AM,8.07,-4.29,0,0,69.03456,28.50924,-72.611336,-2.6345022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/28/2012 12:00:00 AM,7.7299995,-1.6299999,0,0,75.311554,38.801056,-75.80326,-3.1919281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/29/2012 12:00:00 AM,5.86,-0.7326325,0,0,79.242584,54.38735,-78.40765,-2.6043923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/30/2012 12:00:00 AM,5.43,-3.3070555,0,0,73.05948,43.579777,-80.095,-1.6873477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,1/31/2012 12:00:00 AM,4.52,-4.65,0,0,65.308464,33.53167,-81.208984,-1.1139803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/1/2012 12:00:00 AM,0.99,-2.55,0,0,65.0341,50.204746,-81.34742,-0.1384322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/2/2012 12:00:00 AM,0.90000004,-5.1210055,0,0,64.60579,49.753468,-81.41468,-0.06726452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/3/2012 12:00:00 AM,0.40999985,-6.3771443,0,0,56.33551,34.790047,-81.42706,-0.012383698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/4/2012 12:00:00 AM,0.75000024,-7.6,0,0,53.685802,28.75663,-81.46075,-0.033682656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/5/2012 12:00:00 AM,-0.75,-7.12,0.020833334,1,52.169704,32.338696,-81.46075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/6/2012 12:00:00 AM,-0.119999886,-8.836833,0.4791667,23,51.950962,29.272425,-81.46075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/7/2012 12:00:00 AM,0.7399998,-10.48,0,0,57.650948,20.47304,-81.48515,-0.024402838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/8/2012 12:00:00 AM,2.5300002,-4.77,0,0,62.480812,36.58223,-81.92357,-0.43841785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/9/2012 12:00:00 AM,5.6,-5.277292,0,0,67.68599,33.57177,-83.365105,-1.4415352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/10/2012 12:00:00 AM,4.5299997,-6.9599996,0,0,60.08761,25.84984,-84.258095,-0.89298946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/11/2012 12:00:00 AM,0.119999886,-4.319719,0,0,61.6511,47.68133,-84.25972,-0.0016217213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/12/2012 12:00:00 AM,-0.17999983,-5.06176,0,0,57.518536,40.12766,-84.25972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/13/2012 12:00:00 AM,0.28999996,-5.98,0,0,56.323616,35.3284,-84.266426,-0.006706537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/14/2012 12:00:00 AM,3.2600002,-6.51,0,0,59.60141,29.023384,-84.81032,-0.5438895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/15/2012 12:00:00 AM,4.7,-8.14,0,0,57.664352,22.374289,-85.67052,-0.86020243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/16/2012 12:00:00 AM,9.7,-5.5299997,0,0,66.622314,22.436546,-88.75948,-3.0889692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/17/2012 12:00:00 AM,10.48,-2.54,0,0,73.88786,29.566631,-92.98609,-4.226605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/18/2012 12:00:00 AM,10.63,-1.8400002,0,0,75.6161,31.549147,-97.53275,-4.5466638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/19/2012 12:00:00 AM,10.57,-0.39999962,0.05,1,82.003456,36.880623,-102.639854,-5.1071014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Ronco all'Adige.csv,2/20/2012 12:00:00 AM,6.88,2.5697343,1.6291667,24,85.647644,63.919853,-102.639854,-2.155133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
