site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/1/2012 12:00:00 AM,-2.1097918,-2.1097918,0,0,60.658104,60.658104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/2/2012 12:00:00 AM,9.14,-4.04,0.925,1,70.04213,27.414461,-3.1691806,-3.1691806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/3/2012 12:00:00 AM,7.54,-2.21,21.4,24,79.300674,36.890278,-6.084647,-2.9154668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/4/2012 12:00:00 AM,8.24,0.96489686,2.875,23,84.6669,54.665844,-9.7221985,-3.6375515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/5/2012 12:00:00 AM,6.88,-0.05000019,0,0,78.666855,48.219154,-13.137379,-3.4151802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/6/2012 12:00:00 AM,8.24,-1.4700003,0,0,75.97862,38.25728,-16.63365,-3.4962718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/7/2012 12:00:00 AM,10.08,-0.3248657,0,0,79.44953,38.49684,-21.516596,-4.8829465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/8/2012 12:00:00 AM,9.38,-1.9899998,0,0,75.10241,33.695206,-25.385742,-3.869147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/9/2012 12:00:00 AM,10.56,-1.2799997,0,0,77.010605,33.639156,-30.108175,-4.7224326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giorgio della Richinvelda.csv,1/10/2012 12:00:00 AM,11.32,-1.7200003,0,0,75.85387,30.498796,-35.08842,-4.980245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
