site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/1/2020 12:00:00 AM,0.6076785,0.6076785,0,0,69.91842,69.91842,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/2/2020 12:00:00 AM,9.22,-0.8699999,0,0,77.849144,38.335293,-4.2125077,-4.2125077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/3/2020 12:00:00 AM,7.61,-0.9699998,0,0,76.87618,41.915455,-7.587339,-3.3748312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/4/2020 12:00:00 AM,8.36,-0.64999986,0,0,78.08035,41.411583,-11.465785,-3.878446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/5/2020 12:00:00 AM,11.35,0.77000046,0,0,82.127556,39.51723,-16.669655,-5.2038703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/6/2020 12:00:00 AM,12.2,-0.34000015,0,0,79.08419,33.194363,-22.797245,-6.127591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/7/2020 12:00:00 AM,6.69,-1.3211831,0,0,76.34845,44.498344,-25.590597,-2.7933517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/8/2020 12:00:00 AM,2.81,-2.03,0,0,72.22973,48.72737,-26.40631,-0.81571275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/9/2020 12:00:00 AM,4.31,-0.31011793,0,0,75.74198,55.04566,-28.416658,-2.0103493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/10/2020 12:00:00 AM,6.45,-1.4700003,0,0,74.7948,42.566376,-31.04308,-2.6264203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/11/2020 12:00:00 AM,7.86,-2.0499997,0,0,74.35045,36.809925,-34.160114,-3.1170335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/12/2020 12:00:00 AM,11.12,-0.8100004,0,0,78.154465,34.04293,-39.395184,-5.2350707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/13/2020 12:00:00 AM,8.6,-1.8900001,0,0,75.09788,35.777794,-42.920444,-3.525262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/14/2020 12:00:00 AM,4.46,-2.68,0,0,69.84872,41.739193,-44.313416,-1.3929691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/15/2020 12:00:00 AM,4.87,-2.97,0,0,76.96492,39.570347,-45.825974,-1.5125573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/16/2020 12:00:00 AM,6.75,1.1599998,0,0,81.61744,55.091114,-48.62097,-2.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/17/2020 12:00:00 AM,8.2,1.25,0,0,82.81935,50.958145,-52.09597,-3.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/18/2020 12:00:00 AM,10.85,-0.06000042,0.3375,1,87.49067,37.504898,-57.524246,-5.428277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/19/2020 12:00:00 AM,7.01,3.643684,7.7625003,23,89.955154,74.54458,-59.207405,-1.6831584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/20/2020 12:00:00 AM,9.61,2.4428558,0,0,86.8815,53.601288,-62.790977,-3.583572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/21/2020 12:00:00 AM,9.57,0.7443646,0,0,83.24472,46.591415,-67.2038,-4.4128175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/22/2020 12:00:00 AM,8.23,-0.53999996,0,0,78.2942,42.230762,-71.06542,-3.8616247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/23/2020 12:00:00 AM,9.13,-0.6999998,0,0,78.24951,39.2517,-75.30534,-4.239924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\San Giovanni Lupatoto.csv,1/24/2020 12:00:00 AM,9.21,-0.34000015,0,0,79.1794,40.555714,-79.7464,-4.4410524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
