site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\San Vendemiano.csv,1/1/2012 12:00:00 AM,6.27,-1.6359904,0,0,76.093,45.78498,-2.4862728,-2.4862728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/2/2012 12:00:00 AM,8.82,-3.4300003,0.35,1,71.413414,29.897442,-5.6614723,-3.1751997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/3/2012 12:00:00 AM,7.59,-1.79,8.145833,24,77.66859,38.468678,-8.732266,-3.0707943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/4/2012 12:00:00 AM,8.33,0.08485273,2.2041667,23,83.44938,51.705124,-12.85484,-4.122574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/5/2012 12:00:00 AM,5.65,-0.8699999,0,0,75.53066,47.472664,-15.302885,-2.4480445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/6/2012 12:00:00 AM,8.65,-0.9799998,0,0,77.37937,39.281734,-19.18775,-3.884865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/7/2012 12:00:00 AM,10.67,0.35999966,0,0,81.1477,39.656784,-24.32098,-5.13323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/8/2012 12:00:00 AM,10.61,-0.72000027,0,0,78.41413,35.56752,-29.305279,-4.9842978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/9/2012 12:00:00 AM,10.5,-1.3900003,0,0,76.7357,33.382652,-33.95204,-4.6467614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/10/2012 12:00:00 AM,12.37,-1.1999998,0,0,76.86563,29.9606,-39.79706,-5.8450184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/11/2012 12:00:00 AM,11.56,-1.2300005,0,0,77.02978,31.601748,-45.116337,-5.31928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/12/2012 12:00:00 AM,10.04,-2.6899998,0,0,73.493164,29.950798,-49.075615,-3.9592774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/13/2012 12:00:00 AM,9.92,-4.11,0,0,70.03161,25.873926,-52.582615,-3.5069993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/14/2012 12:00:00 AM,9.14,-3.2866263,0,0,72.85203,31.09757,-55.94393,-3.3613148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/15/2012 12:00:00 AM,6,-4.88,0,0,66.24449,30.155968,-57.598343,-1.6544118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/16/2012 12:00:00 AM,2.83,-5.26,0,0,61.805958,34.133244,-58.09333,-0.4949876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/17/2012 12:00:00 AM,2.7599998,-5.07,0,0,62.134064,34.985928,-58.579765,-0.4864367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/18/2012 12:00:00 AM,3.0799997,-6.0599995,0,0,60.36259,30.814547,-59.098717,-0.51894957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/19/2012 12:00:00 AM,2.17,-4.88,0,0,61.70866,36.761562,-59.432682,-0.33396456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/20/2012 12:00:00 AM,4.8,-4.23,0,0,66.59114,34.606068,-60.70843,-1.2757474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/21/2012 12:00:00 AM,6.04,-3.04,0,0,70.63052,36.81388,-62.71733,-2.0088985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/22/2012 12:00:00 AM,7.61,-2.1399999,0,0,73.98562,37.01201,-65.68718,-2.9698513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/23/2012 12:00:00 AM,9.22,-1.9300001,0,0,75.20935,34.2601,-69.499214,-3.812036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/24/2012 12:00:00 AM,9.55,-2.9800003,0,0,72.7082,29.967505,-73.13858,-3.6393657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\San Vendemiano.csv,1/25/2012 12:00:00 AM,9.25,-3.13,0,0,72.272705,30.057543,-76.59425,-3.4556744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
