site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Treviso.csv,1/1/2020 12:00:00 AM,9.2,0.2,1.3000001,14,96.6,65.9,-4.5,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/2/2020 12:00:00 AM,9,-0.6,0,13,81.3,50.6,-8.71875,-4.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/3/2020 12:00:00 AM,9.8,-1.7,0,13,82.9,51.1,-12.894402,-4.175652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/4/2020 12:00:00 AM,7.7,-1.6,0,15,87.1,66.5,-16.082035,-3.1876342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/5/2020 12:00:00 AM,10.3,-1.1,0,12,86,55.2,-20.739052,-4.657017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/6/2020 12:00:00 AM,9.4,0,0,10,82.3,47.1,-25.439053,-4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/7/2020 12:00:00 AM,4.8,-0.6,0.1,14,93.7,73.3,-27.572386,-2.1333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/8/2020 12:00:00 AM,5.5,-1.1,0,9,91,74.8,-29.864052,-2.2916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/9/2020 12:00:00 AM,7.9,-2.4,0,8,81,49.2,-32.89366,-3.0296116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Treviso.csv,1/10/2020 12:00:00 AM,8.7,-0.8,0,10,85.4,57.9,-36.877346,-3.9836838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
