site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Turi.csv,1/1/2013 12:00:00 AM,13.09346,13.09346,0.11958333,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/2/2013 12:00:00 AM,15.34,0,2.8254166,24,100,100,-6.7405477,-6.7405477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/3/2013 12:00:00 AM,15.47,0,1.8420832,24,100,100,-13.508486,-6.767938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/4/2013 12:00:00 AM,14.19,0,2.9525,24,100,100,-19.984879,-6.476392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/5/2013 12:00:00 AM,14.43,0,6.1754165,24,100,100,-26.519875,-6.5349965,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/6/2013 12:00:00 AM,13.73,0,5.0704165,24,100,100,-32.878212,-6.3583393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/7/2013 12:00:00 AM,13.97,0,8.391666,24,100,100,-39.299114,-6.4209023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/8/2013 12:00:00 AM,13.42,0,5.175417,24,100,100,-45.573334,-6.2742176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/9/2013 12:00:00 AM,11.61,0,4.2625003,24,100,97.67079,-51.2667,-5.6933675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/10/2013 12:00:00 AM,13.21,0,1.66625,24,100,100,-57.48169,-6.2149887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/11/2013 12:00:00 AM,13.5,0,4.1325,24,100,100,-63.777985,-6.296296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/12/2013 12:00:00 AM,15.47,0,4.7233334,24,100,100,-70.54592,-6.767938,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/13/2013 12:00:00 AM,13.44,0,6.290833,24,100,100,-76.82568,-6.279762,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/14/2013 12:00:00 AM,15.14,0,3.8408332,24,100,100,-83.52317,-6.69749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/15/2013 12:00:00 AM,16.3,0,10.4,24,100,100,-90.45569,-6.932515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/16/2013 12:00:00 AM,12.82,0,7.24125,24,100,100,-96.555534,-6.099844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/17/2013 12:00:00 AM,12.14,0,3.31875,24,100,99.055984,-102.43692,-5.881384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/18/2013 12:00:00 AM,12.34,0,2.4274998,24,100,99.580124,-102.21506,-5.9481363,0.22186388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/19/2013 12:00:00 AM,12.05,0,3.6316667,24,100,98.82038,-102.04068,-5.8506227,0.17437762,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/20/2013 12:00:00 AM,14.459141,0,1.2133334,24,100,100,-101.35309,-6.54198,0.6875905,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/21/2013 12:00:00 AM,16.94,0,8.383749,24,100,100,-99.931496,-7.048406,1.421594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/22/2013 12:00:00 AM,17.39,0,12.601251,24,100,100,-98.36128,-7.1247845,1.5702155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/23/2013 12:00:00 AM,16.36,0,7.002084,24,100,100,-97.125046,-6.9437656,1.2362349,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/24/2013 12:00:00 AM,15.07,0,4.5695834,24,100,100,-96.272194,-6.68215,0.85284996,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/25/2013 12:00:00 AM,12.98,0,5.6012497,24,100,100,-95.930115,-6.1479197,0.34208003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/26/2013 12:00:00 AM,11.18,0,3.1845832,24,100,96.55112,-95.86784,-5.527728,0.062271945,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/27/2013 12:00:00 AM,10.5,0,5.1083336,24,100,94.78827,-95.85594,-5.2380953,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/28/2013 12:00:00 AM,11.66,0,4.417917,24,100,97.80123,-95.73778,-5.7118354,0.11816464,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/29/2013 12:00:00 AM,13.39,0,0.21208334,24,100,100,-95.30865,-6.26587,0.42913005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/30/2013 12:00:00 AM,13.55,0,4.9579167,24,100,100,-94.84361,-6.309963,0.46503693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Turi.csv,1/31/2013 12:00:00 AM,15.6,0,2.0633333,24,100,100,-93.838486,-6.794872,1.0051283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,2/1/2013 12:00:00 AM,15.66,0,5.331667,24,100,100,-92.815636,-6.807152,1.022848,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,2/2/2013 12:00:00 AM,17.55,0,4.8399997,24,100,100,-91.191635,-7.150997,1.6240026,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,2/3/2013 12:00:00 AM,20.06,0,8.431667,24,100,100,-88.66911,-7.5074778,2.5225222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\calibration\daily\Turi.csv,2/4/2013 12:00:00 AM,15.67,0,6.2625003,24,100,100,-87.6433,-6.80919,1.0258105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
