site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\calibration\daily\Verduno.csv,1/1/2012 12:00:00 AM,2.8335366,2.8335366,0,0,75.19192,75.19192,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/2/2012 12:00:00 AM,11.48,1.3500004,0.35833335,1,83.59215,41.577686,-4.9568853,-4.9568853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/3/2012 12:00:00 AM,7.81,1.1644537,8.241667,23,86.18575,60.143303,-8.279658,-3.3227732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/4/2012 12:00:00 AM,9.35,-0.23999977,0,0,79.47004,40.617264,-12.837662,-4.5580034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/5/2012 12:00:00 AM,11.86,-0.42000008,0,0,78.98921,33.708553,-18.705708,-5.8680453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/6/2012 12:00:00 AM,11.82,-0.010000229,0,0,83.80857,35.28277,-24.750711,-6.0450034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/7/2012 12:00:00 AM,10.48,1.0463915,0,0,89.846054,56.487625,-29.455303,-4.704592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/8/2012 12:00:00 AM,11.05,-0.6700001,0,0,78.51433,34.71231,-34.71149,-5.256186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/9/2012 12:00:00 AM,14.94,1.7878557,0,0,83.29379,34.67798,-40.35982,-5.64833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/10/2012 12:00:00 AM,11.8,0.069999695,0,0,80.244705,35.627644,-46.086716,-5.726893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/11/2012 12:00:00 AM,12.65,-1.1099997,0,0,76.9756,29.652124,-52.156666,-6.069949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/12/2012 12:00:00 AM,10.78,-1,0,0,77.70599,34.143017,-57.114933,-4.958268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/13/2012 12:00:00 AM,8.72,-0.81999993,0,0,77.80731,39.77532,-61.100174,-3.9852414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/14/2012 12:00:00 AM,10.9,-0.9899998,0,0,77.72386,33.904194,-66.130455,-5.0302777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/15/2012 12:00:00 AM,8.02,-2.2799997,0,0,73.87122,35.566353,-69.25281,-3.1223497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/16/2012 12:00:00 AM,5.4300003,-2.7500002,0,0,70.7463,39.30534,-71.05506,-1.8022556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/17/2012 12:00:00 AM,5.58,-2.85923,0,0,71.039375,39.233814,-72.8998,-1.8447417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/18/2012 12:00:00 AM,5.13,-4.23,0,0,66.94013,33.996098,-74.30562,-1.4058173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/19/2012 12:00:00 AM,6.29,-3.8199997,0,0,68.98423,33.338955,-76.2623,-1.9566815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/20/2012 12:00:00 AM,7.1000004,-3.1700003,0,0,71.15323,34.144474,-78.71654,-2.4542358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/21/2012 12:00:00 AM,13.74,0.59000015,0,0,80.63922,32.740417,-84.75969,-6.043152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/22/2012 12:00:00 AM,12.44,2.1500006,0,0,85.36021,42.202374,-89.6154,-4.855709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/23/2012 12:00:00 AM,16.35,2.5709918,0,0,85.764015,36.494244,-95.04172,-5.426318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/24/2012 12:00:00 AM,12.31,0.8999996,0,0,82.19323,37.470722,-100.512886,-5.471166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/25/2012 12:00:00 AM,12.42,-0.27000046,0,0,79.1785,32.924118,-100.282135,-6.308621,0.23074862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/26/2012 12:00:00 AM,11.23,-0.5100002,0,0,78.89498,34.87134,-100.217705,-5.4355106,0.064433515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/27/2012 12:00:00 AM,8.48,-0.06000042,0,0,79.619835,43.725327,-100.217705,-4.2102103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/28/2012 12:00:00 AM,8.32,1.04,0.2875,1,82.341896,49.49971,-100.217705,-3.6399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/29/2012 12:00:00 AM,5.2,1.71,6.770833,24,81.48011,63.686848,-100.217705,-1.7449999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/30/2012 12:00:00 AM,4.15,-0.28217372,3.7333333,24,80.28703,67.775116,-100.217705,-1.9428954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,1/31/2012 12:00:00 AM,5.65,-1.6983135,2.2791667,24,74.47601,45.357605,-100.217705,-2.1720972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,2/1/2012 12:00:00 AM,0.059999943,-2.8842747,3.9291668,23,64.58199,55.53981,-100.217705,-0.00061135483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\calibration\daily\Verduno.csv,2/2/2012 12:00:00 AM,1.8700001,-3.7,0,0,63.894493,42.501156,-100.217705,-0.31390488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
