site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Vesime.csv,1/1/2019 12:00:00 AM,6.38,-3.2399998,2.6833334,23,74.82368,35.333153,-2.1156135,-2.1156135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/2/2019 12:00:00 AM,10.91,1.0699997,0,0,82.95213,41.994946,-6.9935355,-4.877922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/3/2019 12:00:00 AM,14.24,0.029897455,0,0,80.29599,31.583282,-13.4660225,-6.472487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/4/2019 12:00:00 AM,8.83,-1.4799998,0,0,76.201416,36.838947,-17.24725,-3.7812269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/5/2019 12:00:00 AM,7.61,-2.8200002,0,0,72.32602,34.402653,-20.023478,-2.7762272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/6/2019 12:00:00 AM,9.39,-1.4099998,0,0,76.54424,35.817116,-24.105518,-4.0820417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/7/2019 12:00:00 AM,14.32,0.9499998,0,0,81.11794,32.553734,-30.092598,-5.987079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/8/2019 12:00:00 AM,12.03,0.6000004,0,0,81.52529,37.04651,-35.62733,-5.534733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/9/2019 12:00:00 AM,8.96,-0.069999695,0,0,79.78304,42.384304,-40.0726,-4.4452715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/10/2019 12:00:00 AM,9.72,-0.22000027,0,0,79.60136,39.742958,-44.825035,-4.7524347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/11/2019 12:00:00 AM,9.94,-0.9607238,0,0,79.68613,39.259815,-49.35701,-4.531974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/12/2019 12:00:00 AM,8.71,-2.62,0,0,73.34562,32.85965,-52.70494,-3.3479302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/13/2019 12:00:00 AM,11.33,-1.7299995,0,0,75.82744,30.445534,-57.687244,-4.9823046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/14/2019 12:00:00 AM,13.23,1.5900002,0,0,83.515755,37.66983,-63.059097,-5.371851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/15/2019 12:00:00 AM,15.58,3.0061402,0,1,90.07718,44.10578,-68.10789,-5.0487895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/16/2019 12:00:00 AM,12.95,1.3000002,0,0,82.927284,37.31035,-73.55939,-5.451502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/17/2019 12:00:00 AM,9.15,0.97000027,0,0,82.99244,46.647327,-77.64938,-4.0899997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/18/2019 12:00:00 AM,9.01,2.5026042,0,0,88.15132,58.878994,-80.90308,-3.253698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/19/2019 12:00:00 AM,9.57,1.29,0,0,83.4248,46.927734,-85.04308,-4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/20/2019 12:00:00 AM,6.91,0.6580776,0,0,81.61933,54.294598,-88.169044,-3.1259613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/21/2019 12:00:00 AM,6.65,-0.3699999,0,0,77.68309,47.261448,-91.318794,-3.1497507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/22/2019 12:00:00 AM,7.76,-0.84307605,0,0,77.83988,43.09773,-94.818565,-3.4997716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/23/2019 12:00:00 AM,7.59,-2.29,0,0,73.606224,36.465572,-97.733955,-2.9153898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/24/2019 12:00:00 AM,4.9,-2.2999997,0,0,73.28803,42.47383,-99.40131,-1.6673611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/25/2019 12:00:00 AM,7.91,0.029572109,0,0,79.635414,45.858494,-103.34153,-3.940214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/26/2019 12:00:00 AM,10.11,-1.6999998,0,0,75.9436,33.145393,-103.34102,-4.3278656,0.00051227456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/27/2019 12:00:00 AM,11.96,-2.1800003,0,0,74.57263,27.78219,-103.20518,-5.193889,0.1358416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/28/2019 12:00:00 AM,8.09,-0.8000002,0,0,77.572266,41.446728,-103.20518,-3.6809957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/29/2019 12:00:00 AM,10.08,0.054083552,0,0,82.94109,44.379314,-103.20486,-5.0126395,0.00031917222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/30/2019 12:00:00 AM,9.17,-1.5100002,0,0,76.23688,35.940548,-103.20486,-3.9367461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,1/31/2019 12:00:00 AM,5.54,-1.6416559,0.14166667,1,76.7996,50.669254,-103.20486,-2.136805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/1/2019 12:00:00 AM,6.45,-3.0299997,4.895833,24,77.57177,36.002617,-103.20486,-2.1942246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/2/2019 12:00:00 AM,4.19,1.5300001,38.18333,24,79.76596,66.04903,-103.20486,-1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/3/2019 12:00:00 AM,5.8,1.1999998,11.979166,23,80.84293,58.432533,-103.20486,-2.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/4/2019 12:00:00 AM,8.18,2.17,0,0,85.178696,56.055134,-103.20486,-3.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/5/2019 12:00:00 AM,11.12,1.4879445,0,0,85.77376,46.33427,-103.13974,-4.7509117,0.06511589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/6/2019 12:00:00 AM,12.2,-0.35000038,0,0,79.058975,33.15962,-102.946915,-6.122709,0.19282866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/7/2019 12:00:00 AM,13.45,0.77999973,0,0,81.31159,34.10722,-102.4772,-5.8652883,0.46971184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/8/2019 12:00:00 AM,10.25,-0.72999954,0,0,78.379395,36.389553,-102.47436,-4.787113,0.0028460838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/9/2019 12:00:00 AM,12.25,0.89000034,0,0,82.19022,37.590366,-102.25153,-5.4571786,0.22282131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/10/2019 12:00:00 AM,11.97,0.8999996,0,0,84.287056,38.373695,-102.07625,-5.359711,0.17528911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/11/2019 12:00:00 AM,10.63,3.8900003,0,1,90.32209,56.93882,-102.04681,-3.3405561,0.029443633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/12/2019 12:00:00 AM,10.57,3.121599,0,0,88.42378,53.19364,-102.024994,-3.7023904,0.021810029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/13/2019 12:00:00 AM,15.72,0.96000004,0,0,79.80585,29.28873,-100.91665,-6.271653,1.1083469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/14/2019 12:00:00 AM,13.62,-0.10999966,0,0,78.9525,30.708366,-100.43943,-7.2326584,0.47721773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/15/2019 12:00:00 AM,15.98,0.36000013,0,0,78.01682,26.965666,-99.29473,-6.665301,1.144699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/16/2019 12:00:00 AM,17.37,1.25,0,0,78.448166,26.469078,-97.60996,-6.3752327,1.6847677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/17/2019 12:00:00 AM,17.05,1.0499997,0,0,78.39708,26.607258,-96.05676,-6.446797,1.5532027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/18/2019 12:00:00 AM,16.13,1.8600001,0,0,81.60196,31.120554,-94.74012,-5.8183603,1.3166395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Vesime.csv,2/19/2019 12:00:00 AM,14.710001,1.8200002,0,0,82.997314,34.572777,-93.8796,-5.584484,0.86051613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
