site,Date,temp,prec,RH,lw
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 12:00:00 AM,-1.8830466,0,63.74392,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 1:00:00 AM,-2.510784,0,66.77376,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 2:00:00 AM,-2.9053988,0,68.76033,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 3:00:00 AM,-3.04,0,69.45291,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 4:00:00 AM,-2.9054136,0,68.76041,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 5:00:00 AM,-2.5108125,0,66.77391,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 6:00:00 AM,-1.883087,0,63.74411,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 7:00:00 AM,-1.0650165,0,60.022854,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 8:00:00 AM,-0.11235104,0,55.99107,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 9:00:00 AM,0.9099858,0,51.996857,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 10:00:00 AM,1.9323236,0,48.317673,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 11:00:00 AM,2.884992,0,45.14891,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 12:00:00 PM,3.7030668,0,42.612167,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 1:00:00 PM,4.330798,0,40.773388,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 2:00:00 PM,4.7254066,0,39.662895,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 3:00:00 PM,4.86,0,39.29188,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 4:00:00 PM,4.7254066,0,39.662895,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 5:00:00 PM,4.330798,0,40.773388,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 6:00:00 PM,3.7030668,0,42.612167,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 7:00:00 PM,2.884992,0,45.14891,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 8:00:00 PM,1.9323236,0,48.317673,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 9:00:00 PM,0.9099858,0,51.996857,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 10:00:00 PM,-0.11235104,0,55.99107,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/1/2011 11:00:00 PM,-1.0650165,0,60.022854,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 12:00:00 AM,-0.35949633,0,68.8977,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 1:00:00 AM,-0.90777314,0,71.7118,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 2:00:00 AM,-1.2524369,0,73.546265,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 3:00:00 AM,-1.3699999,0,74.18389,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 4:00:00 AM,-1.2524499,0,73.54633,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 5:00:00 AM,-0.9077981,0,71.71192,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 6:00:00 AM,-0.35953167,0,68.89787,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 7:00:00 AM,0.3549857,0,65.41345,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 8:00:00 AM,1.1870606,0,61.60098,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 9:00:00 AM,2.0799878,0,57.782925,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 10:00:00 AM,2.9729156,0,54.22691,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 11:00:00 AM,3.804993,0,51.131813,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 12:00:00 PM,4.519514,0,48.630817,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 1:00:00 PM,5.0677857,0,46.80425,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 2:00:00 PM,5.4124436,0,45.69529,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 3:00:00 PM,5.53,0,45.323776,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 4:00:00 PM,5.4124436,0,45.69529,0,
..\..\..\files\weather\calibration\daily\Castions di Strada.csv,1/2/2011 5:00:00 PM,5.0677857,0,46.80425,0,
