site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\daily\rome.csv,1/1/2013 12:00:00 AM,4.6150303,4.6150303,0.014166667,1,81.7959,81.7959,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/2/2013 12:00:00 AM,11.58,3.42,0.43041667,24,93.007576,50.938416,-3.9270344,-3.9270344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/3/2013 12:00:00 AM,10.62,5.767722,2.4054165,23,97.044495,72.90798,-6.3135633,-2.3865287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/4/2013 12:00:00 AM,14.73,4.2299995,0,0,89.215294,44.0248,-10.498187,-4.1846237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/5/2013 12:00:00 AM,13.19,4.8,0,3,91.92904,52.172077,-14.086744,-3.5885577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/6/2013 12:00:00 AM,13.35,3.5399995,0,0,88.503914,45.499825,-18.419752,-4.3330073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/7/2013 12:00:00 AM,14.23,4.6199994,0,1,90.6911,47.502823,-22.2938,-3.874048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/8/2013 12:00:00 AM,15.42,3.4600005,0,0,86.506134,38.680836,-27.04569,-4.7518897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/9/2013 12:00:00 AM,11.24,3.2200003,0,1,91.341324,51.10162,-30.95983,-3.9141395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/10/2013 12:00:00 AM,12.57,6.57,0.26708332,7,97.015205,64.8241,-33.40942,-2.4495912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/11/2013 12:00:00 AM,10.06,4.7117167,6.2924995,24,98.916466,80.94816,-36.083225,-2.6738052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\daily\rome.csv,1/12/2013 12:00:00 AM,10.55,3.6112282,3.4558332,24,89.84671,56.22497,-39.530815,-3.447588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\weather\daily\rome.csv,1/13/2013 12:00:00 AM,11.37,2.2799997,0.9220833,24,91.69983,46.064003,-43.972576,-4.44176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
