site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/1/2025 12:00:00 AM,-1.4,-1.4,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/2/2025 12:00:00 AM,12.7,-2,0,0,82,23,-5.7340136,-5.7340136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/3/2025 12:00:00 AM,8.9,-3,0.8,5,90,59,-9.062164,-3.328151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/4/2025 12:00:00 AM,8.4,0.5,2,5,100,64,-13.012164,-3.9499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/5/2025 12:00:00 AM,6.2,1,11.400001,22,100,84,-15.612164,-2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/6/2025 12:00:00 AM,10.1,0.4,0,10,100,55,-20.461647,-4.8494844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/7/2025 12:00:00 AM,13.7,1.2,0.2,9,100,45,-26.164047,-5.7024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/8/2025 12:00:00 AM,12.3,1.3,0,0,82,51,-31.423592,-5.2595453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/9/2025 12:00:00 AM,11.5,2.2,0,0,80,52,-35.95262,-4.5290318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/10/2025 12:00:00 AM,11.2,1.8,0,3,91,65,-40.576027,-4.623404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/11/2025 12:00:00 AM,11.7,3.5,3.8,1,100,56,-44.49981,-3.9237804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/12/2025 12:00:00 AM,11.1,-1.4,21.4,15,100,71,-49.47661,-4.9768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/13/2025 12:00:00 AM,2.4,-2,6.6,24,100,98,-50.131153,-0.6545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/14/2025 12:00:00 AM,0.1,-1.8,1.8000001,23,100,78,-50.133785,-0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/15/2025 12:00:00 AM,0.4,-0.5,15.6,21,100,75,-50.222675,-0.0888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/16/2025 12:00:00 AM,2.7,-0.9,14.8,15,93,76,-51.235176,-1.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/17/2025 12:00:00 AM,3.8,-1.4,3,17,100,72,-52.62364,-1.3884616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/18/2025 12:00:00 AM,3.6,2.5,7.2,22,100,84,-53.173637,-0.54999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/19/2025 12:00:00 AM,5,-0.2,25.2,24,100,90,-55.577484,-2.4038463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/20/2025 12:00:00 AM,8.6,-0.8,0.2,20,100,68,-59.511528,-3.9340427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/21/2025 12:00:00 AM,7.5,-1.5,0.2,19,100,74,-62.636528,-3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/22/2025 12:00:00 AM,8.1,0.2,0.8,16,100,67,-66.586525,-3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/23/2025 12:00:00 AM,9.7,0.5,0,14,97,62,-71.18652,-4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/24/2025 12:00:00 AM,16.1,1,0,4,99,29,-77.5044,-6.3178806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/25/2025 12:00:00 AM,13.5,1.8,0,6,96,47,-82.8309,-5.326496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/26/2025 12:00:00 AM,13.9,1.3,0,16,100,57,-88.52733,-5.696429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/27/2025 12:00:00 AM,13.8,1.8,0,6,96,36,-93.92566,-5.398333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/28/2025 12:00:00 AM,13.1,0.2,0,7,90,38,-100.00318,-6.0775194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\42.csv,1/29/2025 12:00:00 AM,14.3,3.3,1.8,6,100,42,-99.16273,-4.6595454,0.84045464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
