site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/1/2019 12:00:00 AM,27.26,0.9659771,0,5,95.17115,54.515667,-7.482082,-7.482082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/2/2019 12:00:00 AM,11.55,-0.8500004,0.112500004,1,78.932144,32.917843,-12.95809,-5.4760084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/3/2019 12:00:00 AM,7.09,1.2245569,2.5875,23,83.444016,57.486927,-15.890812,-2.9327216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/4/2019 12:00:00 AM,6.38,-1.1383278,0,0,79.2297,51.70605,-18.597824,-2.7070117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/5/2019 12:00:00 AM,4.35,-2.08,0,0,71.14518,44.79019,-20.069246,-1.4714229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/6/2019 12:00:00 AM,9.14,-1.9800003,0,0,75.063034,34.25165,-23.825523,-3.7562768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/7/2019 12:00:00 AM,10.37,-2.08,0,0,75.01879,31.288084,-28.149773,-4.324249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/8/2019 12:00:00 AM,9.7,-2.5299997,0.045833334,1,73.83834,31.152925,-31.996462,-3.8466885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/9/2019 12:00:00 AM,12.11,0.64000034,1.0541667,23,81.66846,36.99282,-37.537384,-5.540924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/10/2019 12:00:00 AM,7.87,2.5677373,0.25833333,1,86.2223,59.92337,-40.188515,-2.6511314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\AN001_Agugliano.csv,1/11/2019 12:00:00 AM,7.8,-0.11496969,6.058333,24,83.67287,54.522427,-44.031864,-3.8433504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
