site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/1/2025 12:00:00 AM,-0.8,-0.8,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/2/2025 12:00:00 AM,3.9,-2.7,0,0,81,43,-1.1522727,-1.1522727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/3/2025 12:00:00 AM,9,2.4,0,0,85,54,-4.4522724,-3.2999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/4/2025 12:00:00 AM,8.5,-0.3,5,5,78,42,-8.557386,-4.1051135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/5/2025 12:00:00 AM,7.2,-1.1,0,0,76,42,-11.680278,-3.1228912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/6/2025 12:00:00 AM,5,0.8,0,0,82,58,-13.780278,-2.1000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/7/2025 12:00:00 AM,5.9,3.4,0.2,2,86,72,-15.030278,-1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/8/2025 12:00:00 AM,6.2,4.5,0.8,9,89,79,-15.880278,-0.8499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/9/2025 12:00:00 AM,6.4,4.3,0,9,95,77,-16.930279,-1.0500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/10/2025 12:00:00 AM,9,6.2,1.8000001,15,93,74,-18.330278,-1.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/11/2025 12:00:00 AM,9.8,4,0,2,90,54,-21.230278,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/12/2025 12:00:00 AM,6.7,0,0,0,78,49,-24.580278,-3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/13/2025 12:00:00 AM,8.1,-1.7,0,0,75,37,-27.927727,-3.3474493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/14/2025 12:00:00 AM,6.5,-2.8,0,0,71,36,-30.199232,-2.2715054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/15/2025 12:00:00 AM,6.4,-0.6,0,0,76,46,-33.124947,-2.9257145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/16/2025 12:00:00 AM,4.2,-3.5,0,0,76,38,-34.2704,-1.1454544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/17/2025 12:00:00 AM,9.4,0.3,0,0,80,42,-38.8204,-4.5499997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/18/2025 12:00:00 AM,7.9,-1,0,0,77,42,-42.32658,-3.5061798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/19/2025 12:00:00 AM,7.7,-2.3,0,1,89,36,-45.29108,-2.9645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/20/2025 12:00:00 AM,9,3.7,1,7,89,62,-47.941082,-2.6499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Adria - Bellombra.csv,1/21/2025 12:00:00 AM,8.9,2.4,3.6,4,91,54,-51.191082,-3.2499995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
