site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/1/2015 12:00:00 AM,-2.2,-2.2,0,0,88.9,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/2/2015 12:00:00 AM,5.3,-2.4,0,11,92.6,66.3,-1.824026,-1.824026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/3/2015 12:00:00 AM,9.2,-1.4,0,7,90.8,57.6,-5.816479,-3.992453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/4/2015 12:00:00 AM,9.7,1.3,0,9,85.9,56.5,-10.0164795,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/5/2015 12:00:00 AM,12.4,3.3,0,2,76.3,19.6,-14.249996,-4.2335167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/6/2015 12:00:00 AM,9.4,0.6,0,0,62.4,35.9,-18.649996,-4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/7/2015 12:00:00 AM,9,-0.3,0,9,82.9,39.1,-23.004835,-4.354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/8/2015 12:00:00 AM,6.7,-0.7,0,12,85.2,57.6,-26.037943,-3.033108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/9/2015 12:00:00 AM,8.5,-0.2,0,8,85,47.5,-30.190243,-4.152299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Git\octopus\src\Files\Weather\\hourly\Bergamo.csv,1/10/2015 12:00:00 AM,10.4,-0.8,0,0,80.8,47.9,-35.025955,-4.835714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
