site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/1/2019 12:00:00 AM,7.68,-0.44000006,0,0,78.24282,44.133545,-3.631921,-3.631921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/2/2019 12:00:00 AM,12.1,1.7200003,0,0,84.37718,41.368393,-8.609493,-4.9775724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/3/2019 12:00:00 AM,15.719999,0.8355037,0,0,80.96352,30.713055,-14.952665,-6.343172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/4/2019 12:00:00 AM,9.61,-0.95001376,0,0,78.445435,38.18279,-19.325392,-4.372726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/5/2019 12:00:00 AM,8.55,-2.58,0,0,73.38099,33.33233,-22.60942,-3.2840297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/6/2019 12:00:00 AM,10.29,-2.1500006,0,0,74.8421,31.219637,-26.868593,-4.259172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/7/2019 12:00:00 AM,14.57,0.60999966,0,0,80.04952,30.8438,-33.100567,-6.2319736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/8/2019 12:00:00 AM,12.78,0.10999966,0,0,79.98116,33.39135,-39.130577,-6.030012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/9/2019 12:00:00 AM,9.86,0.47999954,0,0,81.40261,42.36008,-43.820576,-4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/10/2019 12:00:00 AM,10.34,0.119999886,0,0,80.53334,39.538437,-48.92492,-5.1043444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/11/2019 12:00:00 AM,11.01,-1.0457383,0,0,80.18604,37.296207,-53.994713,-5.0697937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/12/2019 12:00:00 AM,9.47,-2.8499997,0,0,73.00882,30.547783,-57.63436,-3.6396472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/13/2019 12:00:00 AM,12.32,-1.5699997,0,0,75.96378,28.909836,-63.29184,-5.6574802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/14/2019 12:00:00 AM,14.41,2.0900002,0,0,83.95217,36.349438,-68.66255,-5.37071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/15/2019 12:00:00 AM,16.43,3.1932998,0,3,91.16454,44.76029,-73.71915,-5.0565977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/16/2019 12:00:00 AM,13.82,1.3699999,0,0,82.568184,35.277504,-79.35811,-5.63896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/17/2019 12:00:00 AM,10.2,0.6199999,0,0,83.491394,42.031734,-84.14602,-4.7879124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/18/2019 12:00:00 AM,10.03,2.8506815,0,0,89.28706,57.039856,-87.73562,-3.5895963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/19/2019 12:00:00 AM,10.14,1.6000004,0,0,84.312546,46.676052,-92.00447,-4.268852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/20/2019 12:00:00 AM,7.33,1.1000001,0,0,81.90665,52.901924,-95.11947,-3.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/21/2019 12:00:00 AM,7.27,0.50999975,0,0,80.366425,49.94855,-98.499466,-3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/22/2019 12:00:00 AM,8.82,-0.6999998,0,0,78.1459,40.028744,-102.585205,-4.0857353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/23/2019 12:00:00 AM,8.34,-1.2399998,0,0,76.597206,38.960533,-102.585205,-3.6302507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/24/2019 12:00:00 AM,5.88,-1.5700002,0,0,74.04007,43.507236,-102.585205,-2.3204296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/25/2019 12:00:00 AM,9.02,0.262797,0,0,80.76692,43.928215,-102.585205,-4.378602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/26/2019 12:00:00 AM,10.77,-1.54,0,0,76.35739,32.26807,-102.56113,-4.7354107,0.024082074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Castiglione Falletto.csv,1/27/2019 12:00:00 AM,13.12,-1.8599997,0,0,74.88882,26.473362,-102.23621,-6.0703874,0.3249132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
