site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,3/28/2025 12:00:00 AM,11.48,11.48,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,3/29/2025 12:00:00 AM,15.97,9.86,0.7,7,93,58,-0.1383965,-0.1383965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,3/30/2025 12:00:00 AM,14.37,10.17,7.7000003,24,97,73,-0.1383965,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,3/31/2025 12:00:00 AM,20.3,10.05,0.1,6,95,44,-0.1383965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,4/1/2025 12:00:00 AM,17.23,8.05,0.3,9,91,50,-1.881288,-1.7428916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,4/2/2025 12:00:00 AM,14.2,5.6,0.2,2,88,50,-5.1557064,-3.2744184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,4/3/2025 12:00:00 AM,18.13,9.49,2.7,9,93,50,-5.650655,-0.49494815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,4/4/2025 12:00:00 AM,20.6,7.42,0,3,88,47,-7.9781356,-2.3274808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,4/5/2025 12:00:00 AM,20.97,8.54,0,1,87,44,-9.352391,-1.3742557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Cento di Ferrara.csv,4/6/2025 12:00:00 AM,23.6,8.69,0,0,73,36,-10.604843,-1.2524524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
