site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/1/2025 12:00:00 AM,6.95,6.95,0,1,96,96,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/2/2025 12:00:00 AM,15,5.33,0,18,99,78,-3.5423422,-3.5423422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/3/2025 12:00:00 AM,15.58,3,0,18,100,63,-8.594807,-5.0524645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/4/2025 12:00:00 AM,14.97,3,0,17,99,69,-13.548023,-4.953217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/5/2025 12:00:00 AM,14,7.32,0,16,95,72,-15.690418,-2.142395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/6/2025 12:00:00 AM,17.92,6.08,0,15,96,72,-18.9615,-3.2710812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/7/2025 12:00:00 AM,16.94,6.08,0,12,97,72,-22.174023,-3.212523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/8/2025 12:00:00 AM,14,6.08,1.9000001,11,88,68,-25.123922,-2.9498992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/9/2025 12:00:00 AM,16.97,6.17,0,14,100,64,-28.274807,-3.1508842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\DECIMOMANNU RU.csv,1/10/2025 12:00:00 AM,17.92,8,0,11,97,62,-30.073195,-1.798387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
