site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/1/2025 12:00:00 AM,0.33,0.33,0,0,44,44,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/2/2025 12:00:00 AM,7.32,-2.53,0,0,76,41,-2.7199187,-2.7199187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/3/2025 12:00:00 AM,6.64,0.54,0,1,90,39,-5.7699184,-3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/4/2025 12:00:00 AM,8.97,-4.76,0.3,3,78,18,-8.700031,-2.930113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/5/2025 12:00:00 AM,4.63,-3.55,0,0,60,35,-10.010355,-1.310324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/6/2025 12:00:00 AM,4.6,-2.88,0,0,83,38,-11.424793,-1.4144385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/7/2025 12:00:00 AM,3.52,1.85,19.9,23,100,68,-12.259793,-0.8349999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/8/2025 12:00:00 AM,4.66,0.58,16.699999,11,100,38,-14.299793,-2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/9/2025 12:00:00 AM,7.63,0.23,0.8,1,76,36,-17.999794,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/10/2025 12:00:00 AM,7.63,2.34,5.4,10,90,32,-20.644794,-2.6450002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/11/2025 12:00:00 AM,6.09,-0.22,0.5,1,74,27,-23.58363,-2.9388351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/12/2025 12:00:00 AM,5.61,-5.51,0,0,62,23,-24.998741,-1.4151124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/13/2025 12:00:00 AM,5.82,-4.45,0,0,85,42,-26.647835,-1.6490945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/14/2025 12:00:00 AM,6.69,-2.81,0,0,74,39,-29.003418,-2.3555841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/15/2025 12:00:00 AM,4.42,-3.2,0,0,83,30,-30.285334,-1.281916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/16/2025 12:00:00 AM,7.23,-2.9,0,0,79,44,-32.865437,-2.5801036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/17/2025 12:00:00 AM,7.34,-1.09,0,0,70,45,-36.060905,-3.1954687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/18/2025 12:00:00 AM,6.2,-2.15,0,0,79,38,-38.3627,-2.3017962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/19/2025 12:00:00 AM,9.47,-1.67,0,0,57,23,-42.38788,-4.025175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/20/2025 12:00:00 AM,5.12,1.85,3.9,15,91,38,-44.022877,-1.6349999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/21/2025 12:00:00 AM,6.1,2.25,2.5,20,91,79,-45.947876,-1.9250002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/22/2025 12:00:00 AM,10,0.49,0,0,76,48,-50.702877,-4.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/23/2025 12:00:00 AM,6.09,0.58,1.3,5,80,48,-53.45788,-2.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/24/2025 12:00:00 AM,6.48,1.38,5,16,90,30,-56.007877,-2.5500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\Franchetti Tresivio - Melo.csv,1/25/2025 12:00:00 AM,12.07,1.19,0,0,56,23,-61.25096,-5.243084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
