site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/1/2019 12:00:00 AM,27.02,0.8963624,0,5,97.045364,57.84675,-7.5174074,-7.5174074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/2/2019 12:00:00 AM,12.59,-1.1099997,0.10833333,1,79.86399,29.779058,-13.547195,-6.0297885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/3/2019 12:00:00 AM,7.28,1.1702521,2.4916666,23,84.33028,58.54774,-16.60207,-3.0548742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/4/2019 12:00:00 AM,7,-0.91459996,0,0,79.31139,48.991787,-19.697615,-3.095545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/5/2019 12:00:00 AM,5.12,-1.9499999,0,0,72.34482,43.57663,-21.551533,-1.853918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/6/2019 12:00:00 AM,10.49,-1.3900003,0,0,76.735565,33.404877,-26.192955,-4.6414223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/7/2019 12:00:00 AM,11.22,-2.04,0,0,75.07574,29.677692,-30.996002,-4.8030467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/8/2019 12:00:00 AM,10.57,-3.2399998,0.083333336,1,72.17632,27.251942,-35.052837,-4.056835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/9/2019 12:00:00 AM,13.27,-0.17000008,1.9166667,23,86.36133,31.305248,-42.001713,-6.948877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/10/2019 12:00:00 AM,8.59,2.7530184,0.34583333,2,90.43137,66.351685,-44.920204,-2.918491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/11/2019 12:00:00 AM,9.24,0.8686251,8.133333,24,84.24315,49.68418,-49.105892,-4.185687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/12/2019 12:00:00 AM,7.33,-0.23999977,4.1208334,23,78.51871,46.02644,-52.654697,-3.5488045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/13/2019 12:00:00 AM,10.95,-1.6199999,0,0,76.146904,31.609573,-57.459988,-4.8052907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/14/2019 12:00:00 AM,11.38,1.5,0,0,83.99816,42.512413,-62.30361,-4.8436236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/15/2019 12:00:00 AM,12.21,0.19997202,0,0,83.61627,39.890762,-68.10529,-5.8016796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/16/2019 12:00:00 AM,13.43,-2.0699997,0,0,74.19955,25.309053,-74.30303,-6.197736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/17/2019 12:00:00 AM,16.78,2.2000003,0,1,91.71741,30.606312,-80.01661,-5.71358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/18/2019 12:00:00 AM,13.74,5.0696015,0.1,7,97.93038,63.214832,-83.54518,-3.5285695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/19/2019 12:00:00 AM,13.46,3.63,2.3916667,24,88.668434,45.546906,-87.85125,-4.306068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\MC001_Montefano.csv,1/20/2019 12:00:00 AM,11.82,5.1000004,2.7583334,24,93.35525,59.192425,-90.96479,-3.1135414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
