site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Malalbergo.csv,1/1/2007 12:00:00 AM,0.60448307,0.60448307,0,0,71.64321,71.64321,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/2/2007 12:00:00 AM,7.1,-0.50999975,0,0,77.68122,45.35721,-3.3120894,-3.3120894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/3/2007 12:00:00 AM,8.36,0.5763178,0,0,83.386856,51.450443,-7.2039304,-3.891841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/4/2007 12:00:00 AM,11.92,-1.3699999,0,0,76.591385,30.369892,-12.688234,-5.484304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/5/2007 12:00:00 AM,6.57,-1.31,0,0,75.287834,42.99689,-15.427124,-2.7388897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/6/2007 12:00:00 AM,10.94,-0.78999996,0,0,78.222786,34.532913,-20.566391,-5.1392665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/7/2007 12:00:00 AM,9.87,-2.0699997,0,0,74.99863,32.367504,-24.645826,-4.079435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/8/2007 12:00:00 AM,9.13,-0.47000027,0.06666667,1,86.368324,40.21129,-28.987331,-4.341505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/9/2007 12:00:00 AM,7.36,2.1472933,1.5333334,23,89.4106,70.781265,-31.593685,-2.6063535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/10/2007 12:00:00 AM,9.65,0.85999966,0,0,82.337364,44.663654,-35.988686,-4.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/11/2007 12:00:00 AM,6.12,1.5999999,0,0,82.1738,59.78683,-38.248684,-2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/12/2007 12:00:00 AM,7.98,0.9554446,0,0,82.982475,52.23922,-41.760963,-3.5122778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/13/2007 12:00:00 AM,7.34,-0.13999987,0,0,87.58085,46.482887,-45.362274,-3.6013103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/14/2007 12:00:00 AM,5.57,4.29537,0,0,88.68352,81.45097,-45.999588,-0.6373148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/15/2007 12:00:00 AM,6.25,3.96,0,0,88.38265,75.35239,-47.14459,-1.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Malalbergo.csv,1/16/2007 12:00:00 AM,6.39,4.35,0,0,89.538345,77.70238,-48.16459,-1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
