site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/1/2019 12:00:00 AM,22.46,5.5025597,0,8,100,63.65099,-3.9010363,-3.9010363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/2/2019 12:00:00 AM,12.22,4.35,0,3,91.2203,53.458344,-7.522923,-3.6218867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/3/2019 12:00:00 AM,14.71,4.080844,0,0,89.444016,44.44328,-11.793951,-4.2710285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/4/2019 12:00:00 AM,10.73,2.9400003,0,0,87.816635,51.423805,-15.654747,-3.8607957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/5/2019 12:00:00 AM,9.33,2.12,0,0,85.51135,51.877914,-19.259747,-3.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/6/2019 12:00:00 AM,11.14,2.0999994,0,0,85.589264,45.943214,-23.707867,-4.44812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/7/2019 12:00:00 AM,13.689999,3.7499995,0,0,88.82468,45.33082,-27.992952,-4.2850857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/8/2019 12:00:00 AM,14.35,3.7889059,0,0,88.460884,43.436356,-32.37764,-4.3846884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/9/2019 12:00:00 AM,8.62,2.96,0,0,87.44714,59.08367,-35.20764,-2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\MIRA\daily\SVPI04_ORTOVERO.csv,1/10/2019 12:00:00 AM,11.16,2.6599998,0,0,87.04576,48.561703,-39.378487,-4.170847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
