site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/1/2025 12:00:00 AM,4,4,0,1,93,93,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/2/2025 12:00:00 AM,10.2,-2.1,0,17,99,56,-4.230894,-4.230894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/3/2025 12:00:00 AM,8.8,-1.4,0,17,99,68,-8.026973,-3.7960787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/4/2025 12:00:00 AM,14.5,-1,0.4,13,99,30,-15.462457,-7.435484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/5/2025 12:00:00 AM,4.2,-3.5,0,24,99,88,-16.60791,-1.1454544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/6/2025 12:00:00 AM,4.7,2.4,0.6,24,99,99,-17.75791,-1.1499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/7/2025 12:00:00 AM,3.5,0.3,4.4,24,99,99,-19.35791,-1.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/8/2025 12:00:00 AM,9.4,-0.1,0.4,20,99,73,-24.008436,-4.650526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/9/2025 12:00:00 AM,6.8,0.6,1.4000001,24,99,97,-27.108437,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/10/2025 12:00:00 AM,8.2,5,1.4,24,99,96,-28.708437,-1.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/11/2025 12:00:00 AM,10.2,-0.8,0.4,20,99,72,-33.439346,-4.730909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/12/2025 12:00:00 AM,7,-2.1,0,20,99,81,-36.131653,-2.6923075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/13/2025 12:00:00 AM,8.5,-4.1,0,16,99,48,-38.99872,-2.8670635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/14/2025 12:00:00 AM,8.6,-5.5,0.2,12,99,42,-41.621414,-2.6226952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/15/2025 12:00:00 AM,6.2,-3.1,0,13,99,51,-43.68808,-2.0666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/16/2025 12:00:00 AM,9.4,-6.4,0,15,99,46,-46.484283,-2.7962024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/17/2025 12:00:00 AM,7.1,-4.4,0.2,12,99,54,-48.67602,-2.191739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/18/2025 12:00:00 AM,8.1,-3.1,0,16,99,57,-51.60504,-2.929018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/19/2025 12:00:00 AM,5.9,-3.4,0.2,19,99,79,-53.476547,-1.8715054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/20/2025 12:00:00 AM,7.2,3.3,5.6,23,99,62,-55.426548,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/21/2025 12:00:00 AM,5.9,1.9,27,24,99,99,-57.426548,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/22/2025 12:00:00 AM,11.9,2.3,1.6,20,99,73,-62.03853,-4.6119795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\eleonora.delcavallo\Desktop\workshop modellistica\output_stations\\hourly\SanMarzano.csv,1/23/2025 12:00:00 AM,6.8,1.6,9.2,24,99,99,-64.63853,-2.6000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
