site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\Weather\daily\Turi.csv,1/1/2013 12:00:00 AM,4.6962285,-3.19,0,0,74.80613,45.944595,-1.3982959,-1.3982959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/2/2013 12:00:00 AM,15.34,2.8699994,0,0,85.07001,36.6711,-6.489928,-5.091632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/3/2013 12:00:00 AM,15.47,1.8000002,0,0,82.19693,32.55919,-12.230528,-5.7405996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/4/2013 12:00:00 AM,14.19,2.8100004,0,0,87.2866,39.752396,-17.14917,-4.918642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/5/2013 12:00:00 AM,14.43,6.2102227,0,5,94.79129,54.812115,-20.065298,-2.9161274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/6/2013 12:00:00 AM,13.73,4.92,0,4,96.103584,50.76602,-23.680689,-3.6153915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/7/2013 12:00:00 AM,13.97,6.4123535,0,8,100,70.7063,-26.416801,-2.7361116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/8/2013 12:00:00 AM,13.42,5.2100005,0,3,92.87151,53.427418,-29.809475,-3.3926735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/9/2013 12:00:00 AM,11.61,3.2661405,0,3,91.49307,55.936615,-33.826077,-4.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/10/2013 12:00:00 AM,13.21,1.5600004,0.22916667,1,83.45041,37.60856,-39.20884,-5.382764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/11/2013 12:00:00 AM,13.5,4.1100006,5.4833336,24,89.9034,47.64314,-43.25155,-4.04271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/12/2013 12:00:00 AM,15.47,4.6500006,4.8875,23,89.54737,43.392406,-47.27888,-4.0273333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/13/2013 12:00:00 AM,13.439999,5.247353,0.0125,6,96.071304,59.979153,-50.652996,-3.3741145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/14/2013 12:00:00 AM,15.14,3.5500002,0.48333332,24,98.542854,39.876293,-55.30824,-4.6552415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/15/2013 12:00:00 AM,16.3,8.202293,5.4708333,24,100,71.56092,-56.9064,-1.5981593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
..\..\..\files\Weather\daily\Turi.csv,1/16/2013 12:00:00 AM,12.82,4.6458287,22.608334,24,99.164,69.04912,-60.50705,-3.6006508,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
..\..\..\files\Weather\daily\Turi.csv,1/17/2013 12:00:00 AM,12.14,3.3599997,10.020833,24,88.63624,48.704533,-64.63625,-4.129203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\Weather\daily\Turi.csv,1/18/2013 12:00:00 AM,12.34,2.37,32.370834,24,85.97239,43.46152,-69.34665,-4.7103963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\Weather\daily\Turi.csv,1/19/2013 12:00:00 AM,12.05,2.6732552,6.183334,24,89.69496,50.96206,-73.81093,-4.464281,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\Weather\daily\Turi.csv,1/20/2013 12:00:00 AM,12.95,0.90999985,1.4625,24,88.9246,35.841213,-79.46953,-5.6586003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\Weather\daily\Turi.csv,1/21/2013 12:00:00 AM,16.94,8.190001,7.45,24,100,54.605408,-81.09232,-1.6227939,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
..\..\..\files\Weather\daily\Turi.csv,1/22/2013 12:00:00 AM,17.39,8.464662,6.5541673,24,100,81.22801,-82.495605,-1.4032834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
